Date,Solsea,Digital Eyes,Solanart,Total,OpenSea,OpenSeaDom
1627948800000,0,0,3,3,46425,0.006%
1628035200000,0,0,41,41,54203,0.076%
1628121600000,0,0,370,370,61793,0.595%
1628208000000,0,0,1698,1698,66417,2.493%
1628294400000,0,0,2543,2543,59292,4.113%
1628380800000,0,0,3129,3129,65951,4.530%
1628467200000,0,0,2483,2483,67550,3.545%
1628553600000,0,0,2424,2424,77746,3.024%
1628640000000,0,0,2683,2683,66190,3.896%
1628726400000,0,0,1828,1828,63809,2.785%
1628812800000,0,0,1719,1719,77891,2.159%
1628899200000,0,0,3284,3284,79768,3.954%
1628985600000,0,0,20522,20522,73321,21.868%
1629072000000,0,0,14473,14473,62024,18.920%
1629158400000,0,0,16627,16627,57464,22.441%
1629244800000,0,2,23871,23873,50860,31.944%
1629331200000,0,0,15945,15945,51310,23.708%
1629417600000,0,0,27460,27460,51076,34.965%
1629504000000,0,0,15737,15737,65247,19.432%
1629590400000,0,0,10454,10454,82073,11.298%
1629676800000,0,0,10807,10807,89002,10.828%
1629763200000,0,0,16057,16057,107716,12.973%
1629849600000,0,10,11349,11359,101312,10.082%
1629936000000,0,0,13602,13602,104615,11.506%
1630022400000,0,4599,23681,28280,102528,21.619%
1630108800000,0,4585,39285,43870,111821,28.178%
1630195200000,0,6458,26239,32697,112379,22.538%
1630281600000,0,23459,37949,61408,112463,35.318%
1630368000000,0,47626,37655,85281,93985,47.572%
1630454400000,0,22004,52802,74806,85667,46.616%
1630540800000,0,10493,43327,53820,76822,41.197%
1630627200000,0,15443,54379,69822,75134,48.168%
1630713600000,3926,11731,22506,38163,77149,33.095%
1630800000000,8709,29929,15209,53847,74973,41.800%
1630886400000,968,40518,14739,56225,72784,43.582%
1630972800000,834,28716,15422,44972,62156,41.980%
1631059200000,284,20596,18522,39402,51806,43.200%
1631145600000,156,20418,33444,54018,62533,46.347%
1631232000000,96,12841,12802,25739,53592,32.445%
1631318400000,64,15604,8662,24330,54424,30.894%
1631404800000,43,14670,11062,25775,55554,31.692%
1631491200000,26,12718,10915,23659,58447,28.815%
1631577600000,10,5168,4447,9625,65079,12.884%
1631664000000,23,13556,7444,21023,63180,24.967%
1631750400000,23,16311,20486,36820,76071,32.616%
1631836800000,21,37659,62768,100448,72592,58.049%
1631923200000,129,18413,30623,49165,76990,38.972%
1632009600000,31,15719,26992,42742,90348,32.115%
1632096000000,6780,17256,37004,61040,80967,42.984%
1632182400000,7185,15609,71949,94743,80240,54.144%
1632268800000,15461,18253,48062,81776,77868,51.224%
1632355200000,9440,15647,60190,85277,77949,52.245%
1632441600000,11218,14563,50834,76615,80083,48.893%
1632528000000,7293,10533,39095,56921,92034,38.214%
1632614400000,6276,12539,24892,43707,95345,31.432%
1632700800000,6328,15013,27921,49262,102536,32.452%
1632787200000,13918,16716,88997,119631,104629,53.345%
1632873600000,10190,22495,74309,106994,101453,51.329%
1632960000000,12260,24126,53159,89545,88002,50.435%
1633046400000,22963,31941,42795,97699,80284,54.892%
1633132800000,19247,32434,82344,134025,87547,60.488%
1633219200000,14736,30094,77933,122763,102637,54.465%
1633305600000,15737,46132,58697,120566,112293,51.776%
1633392000000,24230,39634,78004,141868,105932,57.251%
1633478400000,11611,31459,68525,111595,83303,57.258%
1633564800000,15194,30258,73376,118828,69877,62.970%
1633651200000,43397,22307,121652,187356,79804,70.129%
1633737600000,20082,17043,56529,93654,76951,54.895%
1633824000000,33740,15809,61958,111507,69022,61.767%
1633910400000,16240,16110,54240,86590,67569,56.169%
1633996800000,11762,14572,56465,82799,63213,56.707%
1634083200000,18793,15386,75567,109746,69244,61.314%
1634169600000,13662,15368,98478,127508,54545,70.039%
1634256000000,10721,12351,50744,73816,50825,59.223%
1634342400000,11321,9820,44975,66116,54366,54.876%
1634428800000,11538,9285,80032,100855,62353,61.795%
1634515200000,9789,17585,85655,113029,53604,67.831%
1634601600000,11444,11370,43893,66707,50182,57.069%
1634688000000,9352,11634,39877,60863,44064,58.005%
1634774400000,7957,9557,41196,58710,49498,54.257%
1634860800000,8814,9746,34142,52702,53813,49.478%
1634947200000,8585,7395,42137,58117,56137,50.866%
1635033600000,6198,6271,56002,68471,49919,57.835%
1635120000000,7145,7366,48288,62799,45718,57.870%
