Date,Solsea,Digital Eyes,Solanart,Total,OpenSea,OpenSeaDom
1627948800000,0,0,1,1,14520,0.00689%
1628035200000,0,0,1,1,16500,0.00606%
1628121600000,0,0,97,97,17990,0.53630%
1628208000000,0,0,328,328,19644,1.64230%
1628294400000,0,0,419,419,18511,2.21342%
1628380800000,0,0,466,466,20675,2.20425%
1628467200000,0,0,471,471,21661,2.12814%
1628553600000,0,0,425,425,24385,1.71302%
1628640000000,0,0,426,426,22167,1.88554%
1628726400000,0,0,354,354,21567,1.61489%
1628812800000,0,0,370,370,24420,1.49254%
1628899200000,0,0,688,688,24809,2.69836%
1628985600000,0,0,2999,2999,24250,11.00591%
1629072000000,0,0,2299,2299,22850,9.14152%
1629158400000,0,0,2234,2234,21092,9.57730%
1629244800000,0,1,2867,2868,20082,12.49673%
1629331200000,0,0,2280,2280,20054,10.20865%
1629417600000,0,0,3030,3030,19405,13.50568%
1629504000000,0,0,2627,2627,22292,10.54216%
1629590400000,0,0,1752,1752,25880,6.34047%
1629676800000,0,0,1985,1985,28374,6.53842%
1629763200000,0,0,2866,2866,34412,7.68818%
1629849600000,0,4,2578,2582,34194,7.02088%
1629936000000,0,0,2846,2846,35181,7.48416%
1630022400000,0,986,4766,5752,35256,14.02653%
1630108800000,0,1107,5642,6749,38805,14.81538%
1630195200000,0,1460,4681,6141,40701,13.11003%
1630281600000,0,4140,6866,11006,40836,21.22989%
1630368000000,0,8806,8238,17044,37071,31.49589%
1630454400000,0,6290,9741,16031,34826,31.52172%
1630540800000,0,3362,8474,11836,30489,27.96456%
1630627200000,0,4335,10250,14585,28965,33.49024%
1630713600000,1007,3845,5733,10585,30428,25.80889%
1630800000000,2003,7737,4345,14085,30778,31.39558%
1630886400000,359,8834,4660,13853,30197,31.44835%
1630972800000,422,7558,4852,12832,26635,32.51324%
1631059200000,140,6010,4680,10830,24109,30.99688%
1631145600000,78,5919,6833,12830,27126,32.11032%
1631232000000,41,3969,3631,7641,26013,22.70458%
1631318400000,26,4261,2845,7132,25172,22.07776%
1631404800000,24,3975,3382,7381,24994,22.79846%
1631491200000,18,3730,3059,6807,25349,21.16868%
1631577600000,10,1763,1467,3240,27751,10.45465%
1631664000000,11,3885,2308,6204,27059,18.65135%
1631750400000,15,5199,5095,10309,31127,24.87933%
1631836800000,11,8368,10767,19146,29624,39.25774%
1631923200000,16,5305,7439,12760,30611,29.42058%
1632009600000,20,4523,6480,11023,33506,24.75465%
1632096000000,1075,5077,7758,13910,29113,32.33154%
1632182400000,1264,4737,10157,16158,29857,35.11464%
1632268800000,3323,4740,8676,16739,31264,34.87074%
1632355200000,2316,4139,10312,16767,31019,35.08768%
1632441600000,2522,3906,10102,16530,31881,34.14513%
1632528000000,1901,2958,8754,13613,34640,28.21172%
1632614400000,1577,3610,6937,12124,34677,25.90543%
1632700800000,1667,4360,7717,13744,37121,27.02054%
1632787200000,3041,5290,17564,25895,37871,40.60942%
1632873600000,2513,6484,15361,24358,37831,39.16770%
1632960000000,2754,6725,13521,23000,34605,39.92709%
1633046400000,5247,8564,11623,25434,32597,43.82830%
1633132800000,4685,9018,17002,30705,34196,47.31052%
1633219200000,4155,8912,17769,30836,37996,44.79893%
1633305600000,4291,11872,16006,32169,38822,45.31419%
1633392000000,5217,11504,18744,35465,38224,48.12794%
1633478400000,3247,10025,16716,29988,32902,47.68326%
1633564800000,3237,9211,18044,30492,29138,51.13533%
1633651200000,8608,6954,23183,38745,34369,52.99259%
1633737600000,5259,5599,15387,26245,33292,44.08183%
1633824000000,7046,5484,15829,28359,30567,48.12646%
1633910400000,4424,5704,16290,26418,30002,46.82382%
1633996800000,3185,5239,15083,23507,29860,44.04782%
1634083200000,3866,5326,17004,26196,30827,45.93936%
1634169600000,3692,5380,20661,29733,25914,53.43145%
1634256000000,2960,4190,14903,22053,25343,46.52924%
1634342400000,3140,3615,12665,19420,26747,42.06468%
1634428800000,3165,3335,16527,23027,28858,44.38084%
1634515200000,2839,5482,19731,28052,26440,51.47912%
1634601600000,3047,3943,12304,19294,24992,43.56682%
1634688000000,2688,3957,11714,18359,22854,44.54662%
1634774400000,2337,3395,11942,17674,24297,42.11003%
1634860800000,2223,3438,10416,16077,26132,38.08903%
1634947200000,2293,2856,10228,15377,26919,36.35568%
1635033600000,1799,2476,15150,19425,24191,44.53641%
1635120000000,1993,2878,13074,17945,23291,43.51780%
