Date,Solsea,Digital Eyes,Solanart,Total,OpenSea
1627948800000,0.00,0.00,2,2,36773120
1628035200000,0.00,0.00,21,21,57673035
1628121600000,0.00,0.00,13381,13381,52536549
1628208000000,0.00,0.00,71018,71018,63877728.31
1628294400000,0.00,0.00,143314,143314,53682799
1628380800000,0.00,0.00,191853,191853,71328151
1628467200000,0.00,0.00,168594,168594,66429093
1628553600000,0.00,0.00,115877,115877,65058908
1628640000000,0.00,0.00,99097,99097,56070674
1628726400000,0.00,0.00,110454,110454,52879393
1628812800000,0.00,0.00,93565,93565,60104936
1628899200000,0.00,0.00,575443,575443,75501800
1628985600000,0.00,0.00,3967946,3967946,63588267
1629072000000,0.00,0.00,2258917,2258917,47404438
1629158400000,0.00,0.00,1402334,1402334,43697494
1629244800000,0.00,2572,1064109,1066681,49442813
1629331200000,0.00,0,1506965,1506965,40475720
1629417600000,0.00,0,1459942,1459942,76714844
1629504000000,0.00,0,1528982,1528982,112120367
1629590400000,0.00,0,1119618,1119618,118289977
1629676800000,0.00,0,2158899,2158899,179612361
1629763200000,0.00,0,6545814,6545814,202385236
1629849600000,0.00,5,4802788,4802793,163168974.2
1629936000000,0.00,0,4518824,4518824,169984253.4
1630022400000,0.00,647873,6194606,6842479,161172391
1630108800000,0.00,806950,9979655,10786605,224581302
1630195200000,0.00,756682,7324189,8080871,302636240
1630281600000,0.00,4933546,23926304,28859850,252245300
1630368000000,0.00,13681629,29982709.66,43664338.66,163695605.6
1630454400000,0.00,6353070,27060921,33413991,162443473.3
1630540800000,0.00,1337586,10979014,12316600,181445251
1630627200000,0.00,2754836,12329876,15084712,152281179.2
1630713600000,302477,2135189,9663357,12101023,122760037
1630800000000,156712,2478765,7229353,9864830,125763130
1630886400000,0,2944131,5796330,8740461,118065759
1630972800000,0,2627869,6634750,9262619,99730834
1631059200000,0,3332353,7506269,10838622,76832067
1631145600000,0,2379736,6057545,8437281,84257140
1631232000000,0,1371856,3104899,4476755,60016156
1631318400000,0,1446048,5657863,7103911,46787368
1631404800000,0,1641553,2933192,4574745,45075493
1631491200000,0,1012778,2326173,3338951,78992652
1631577600000,0,613175,971859,1585034,73553102
1631664000000,0,1057426,864453,1921879,81958462
1631750400000,0,1108445,2368168,3476613,104226069
1631836800000,0,2444953,6089752,8534705,73916920
1631923200000,0,1110884,2384120,3495004,88848249
1632009600000,0,1031187,2499715,3530902,90442523.12
1632096000000,44116,1511524,3188039,4743679,66026190.09
1632182400000,35641,1095723,4877374,6008738,62693438
1632268800000,298197,847810,2819410,3965417,51446981
1632355200000,225682,636960,7140669,8003311,82709928
1632441600000,157343,628440,3676830,4462613,68994078
1632528000000,79984,533625,4466753,5080362,67291455
1632614400000,70425,625371,3196842,3892638,79428611
1632700800000,128010,1940393,6140113,8208516,102860784
1632787200000,266918,2335509,10731672,13334099,100156825
1632873600000,265991,2009671,10098845.52,12374507.52,82917320
1632960000000,359141,4240491,8383434,12983066,90366262
1633046400000,1155373,2984831,7981939,12122143,79191366
1633132800000,833889,3469573,14203667,18507129,84891530
1633219200000,1139387,5743040,23412507,30294934,117686235
1633305600000,712721,6504616,15175530,22392867,138973147.7
1633392000000,518325,3793358,14474210,18785893,139230967
1633478400000,226734,2253916,10051873,12532523,108326359
1633564800000,149920,1281443,7581640,9013003,116544680
1633651200000,468247,981284,8090178,9539709,109350927
1633737600000,567479,896690,4833401,6297570,82563169
1633824000000,560383,1051795,12118631,13730809,82382334.71
1633910400000,270950,1456398,8217690,9945038,72250941
1633996800000,144485,799323,4900377,5844185,68904507
1634083200000,297454,844974,5448731,6591159,97973304
1634169600000,124247,473264,5953916,6551427,70947130.24
1634256000000,161684,355392,4390190,4907266,91565320
1634342400000,81270,314334,3110920,3506524,61579622
1634428800000,220503,230062,3658962,4109527,67435231
1634515200000,95006,313546,6891750,7300302,71757079
1634601600000,270141,316987,3742470,4329598,52873167
1634688000000,130519,175858,3659758,3966135,46091825
1634774400000,101838,315945,2840447,3258230,59200513
1634860800000,64715,224602,2364286,2653603,69636785
1634947200000,91204,201982,3011484,3304670,70185235.16
1635033600000,63143,202669,7253087,7518899,56313685.4
1635120000000,50609,223061,4827072,5100742,53754581
