Date,Solsea,Digital Eyes,Solanart,Total,OpenSea
1627948800000,£0,£0,£2,£2,"£36,773,120"
1628035200000,£0,£0,£21,£21,"£57,673,035"
1628121600000,£0,£0,"£13,381","£13,381","£52,536,549"
1628208000000,£0,£0,"£71,018","£71,018","£63,877,728"
1628294400000,£0,£0,"£143,314","£143,314","£53,682,799"
1628380800000,£0,£0,"£191,853","£191,853","£71,328,151"
1628467200000,£0,£0,"£168,594","£168,594","£66,429,093"
1628553600000,£0,£0,"£115,877","£115,877","£65,058,908"
1628640000000,£0,£0,"£99,097","£99,097","£56,070,674"
1628726400000,£0,£0,"£110,454","£110,454","£52,879,393"
1628812800000,£0,£0,"£93,565","£93,565","£60,104,936"
1628899200000,£0,£0,"£575,443","£575,443","£75,501,800"
1628985600000,£0,£0,"£3,967,946","£3,967,946","£63,588,267"
1629072000000,£0,£0,"£2,258,917","£2,258,917","£47,404,438"
1629158400000,£0,£0,"£1,402,334","£1,402,334","£43,697,494"
1629244800000,£0,"£2,572","£1,064,109","£1,066,681","£49,442,813"
1629331200000,£0,£0,"£1,506,965","£1,506,965","£40,475,720"
1629417600000,£0,£0,"£1,459,942","£1,459,942","£76,714,844"
1629504000000,£0,£0,"£1,528,982","£1,528,982","£112,120,367"
1629590400000,£0,£0,"£1,119,618","£1,119,618","£118,289,977"
1629676800000,£0,£0,"£2,158,899","£2,158,899","£179,612,361"
1629763200000,£0,£0,"£6,545,814","£6,545,814","£202,385,236"
1629849600000,£0,£5,"£4,802,788","£4,802,793","£163,168,974"
1629936000000,£0,£0,"£4,518,824","£4,518,824","£169,984,253"
1630022400000,£0,"£647,873","£6,194,606","£6,842,479","£161,172,391"
1630108800000,£0,"£806,950","£9,979,655","£10,786,605","£224,581,302"
1630195200000,£0,"£756,682","£7,324,189","£8,080,871","£302,636,240"
1630281600000,£0,"£4,933,546","£23,926,304","£28,859,850","£252,245,300"
1630368000000,£0,"£13,681,629","£29,982,710","£43,664,339","£163,695,606"
1630454400000,£0,"£6,353,070","£27,060,921","£33,413,991","£162,443,473"
1630540800000,£0,"£1,337,586","£10,979,014","£12,316,600","£181,445,251"
1630627200000,£0,"£2,754,836","£12,329,876","£15,084,712","£152,281,179"
1630713600000,"£302,477","£2,135,189","£9,663,357","£12,101,023","£122,760,037"
1630800000000,"£156,712","£2,478,765","£7,229,353","£9,864,830","£125,763,130"
1630886400000,£0,"£2,944,131","£5,796,330","£8,740,461","£118,065,759"
1630972800000,£0,"£2,627,869","£6,634,750","£9,262,619","£99,730,834"
1631059200000,£0,"£3,332,353","£7,506,269","£10,838,622","£76,832,067"
1631145600000,£0,"£2,379,736","£6,057,545","£8,437,281","£84,257,140"
1631232000000,£0,"£1,371,856","£3,104,899","£4,476,755","£60,016,156"
